"Item SKU","Item Name","Item Description (short)","Item UOM","Physical Quantity (Good)","Physical Quantity (Damaged)","Quantity on-hold"
JF-297628+297629,"John Frieda Luxurious Volume Core Restore Shampoo & Conditioner Set ","Fine hair lacks the protein",PIECES,384,0,0
JF-297630,"John Frieda Luxurious Volume Core Restore Protein-Infused Volumiser 60ml","Transforms hair to maximize strength",PIECES,676,0,0
JF-276969,"John Frieda Luxurious Volume 7 Day Volume Treatment 100ml","Transform fine, limp hair and",PIECES,294,0,0
JF-278323,"John Frieda Luxurious Volume Perfectly Full Mousse 200ml","3x more volume with natural-feeling",PIECES,663,0,0
JF-278324,"John Frieda Luxurious Volume Forever Full Hairspray 250ml","Give fine hair lush body",PIECES,678,0,0
JF-297628+297629+297630,"John Frieda Luxurious Volume Core Restore Complete Set (+ Volumiser)","Fine hair lacks the protein",PIECES,384,0,0
JF-297628+297629+276969,"John Frieda Luxurious Volume Core Restore Volumising Set (+ 7 Day Trt)","Fine hair lacks the protein",PIECES,294,0,0
JF-287548,"John Frieda Full Repair Strengthen + Repair Shampoo 250ml","Reverse the look and feel",PIECES,528,0,0
JF-287549,"John Frieda Full Repair Strengthen + Repair Conditioner 250ml","Reverse the look and feel",PIECES,968,0,0
JF-287548+287549,"John Frieda Full Repair Shampoo & Conditioner Set","Reverse the look and feel",PIECES,528,0,0
JF-287550,"John Frieda Full Repair Hydrate + Rescue Deep Conditioner 150ml","Reverse the look and feel",PIECES,793,0,0
JF-287548+287549+287550,"John Frieda Full Repair Complete Set","Reverse the look and feel",PIECES,528,0,0
JF-294634,"John Frieda Brilliant Brunette Colour Protecting Moisturising Shampoo 250ml","Don't fade away.Protecting Moisturising",PIECES,1076,0,0
JF-294636,"John Frieda Brilliant Brunette Visibly Brighter subtle Lightening Shampoo 250ml","Give your brunette hair a",PIECES,1566,0,0
JF-294635,"John Frieda Brilliant Brunette Colour Protecting Moisturising Conditioner 250ml","Say goodbye to faded, dry",PIECES,1321,0,0
JF-294637,"John Frieda Brilliant Brunette Visibly Brighter Subtle Lightening Conditioner 250ml","Hydrate your hair with a",PIECES,1446,0,0
JF-294634+294635,"John Frieda Brilliant Brunette Colour Protecting Shampoo & Conditioner Set","Don't fade away.Protecting Moisturising",PIECES,1076,0,0
JF-294636+294637,"John Frieda Brilliant Brunette Visibly Brighter Shampoo & Conditioner Set","Give your brunette hair a",PIECES,1446,0,0
JF-294640,"John Frieda Brilliant Brunette Visibly Brighter In-shower Lightening Treatment 34ml","It’s time to give Brunettes",PIECES,4366,0,0
JF-294640x2,"John Frieda Brilliant Brunette Visibly Brighter In-shower Lightening Treatment 34ml x2","It’s time to give Brunettes",PIECES,2183,0,0
JF-294636+294637+294640,"John Frieda Brilliant Brunette Visibly Brighter Complete Set","Give your brunette hair a",PIECES,1446,0,0
M-405246x6,"Merries Walker Pants Jumbo L27s x 6 packs (9 - 14 kg)","Merries Walker Pants is designed",PIECES,475,0,1
M-405241x4,"Merries Tape Diapers S54s x 4 packs (4 - 8 kg)","New and improved Merries Tape",PIECES,445,0,1
M-278148x3,"Merries Walker Pants Super Jumbo XXL26s x 3 packs (15 - 28 kg)","Merries Walker Pants is designed",PIECES,312,0,5
M-405240x4,"Merries Tape Diapers NB60s x 4 packs (<5 kg)","New and improved Merries Tape",PIECES,621,0,0
M-405242x4,"Merries Tape Diapers M64s x 4 packs (6 - 11 kg)","New and improved Merries Tape",PIECES,2170,0,4
M-405244x4,"Merries Tape Diapers XL44s x 4 packs (12 - 20 kg)","New and improved Merries Tape",PIECES,2508,0,13
